title,company,location,salary,description,skills
Data Scientist,Cloudify,Mumbai,1254470,Looking for a passionate developer to build scalable applications.,"Machine Learning, React, Pandas, Django, Docker"
Frontend Developer,TechNova,Kolkata,778833,Work on cutting-edge technologies and collaborate with a dynamic team.,"JavaScript, SQL, Machine Learning, AWS, Docker"
Backend Developer,DataCorp,Delhi,1199217,Work on cutting-edge technologies and collaborate with a dynamic team.,"Machine Learning, AWS, JavaScript"
UI/UX Designer,AlgoEdge,Delhi,1335367,Design and implement modern web interfaces.,"AWS, Docker, Django"
DevOps Engineer,DataCorp,Pune,2311745,Analyze data and build predictive models.,"TensorFlow, AWS, SQL, Python, React"
Software Engineer,Cloudify,Mumbai,916767,Analyze data and build predictive models.,"SQL, Python, Docker, TensorFlow, React"
Software Engineer,NextGen Labs,Pune,2352970,Develop and maintain high-quality software solutions.,"React, Machine Learning, TensorFlow, JavaScript"
Software Engineer,Cloudify,Pune,1426261,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, JavaScript, Python, Pandas, React"
Software Engineer,TechNova,Chennai,2073268,Looking for a passionate developer to build scalable applications.,"React, Pandas, Docker, AWS"
Backend Developer,WebSphere,Delhi,1451616,Develop and maintain high-quality software solutions.,"Python, Django, Docker"
UI/UX Designer,NextGen Labs,Hyderabad,1971957,Work on cutting-edge technologies and collaborate with a dynamic team.,"Docker, Pandas, Django"
Data Scientist,TechNova,Chennai,534667,Looking for a passionate developer to build scalable applications.,"TensorFlow, Python, Pandas, AWS, Machine Learning"
Data Scientist,AlgoEdge,Hyderabad,1880298,Develop and maintain high-quality software solutions.,"TensorFlow, SQL, Machine Learning"
Backend Developer,CodeWorks,Chennai,507757,Develop and maintain high-quality software solutions.,"AWS, Pandas, React"
Frontend Developer,CodeWorks,Mumbai,566900,Design and implement modern web interfaces.,"Machine Learning, SQL, Django"
Data Scientist,ByteForge,Bangalore,434593,Develop and maintain high-quality software solutions.,"JavaScript, TensorFlow, Python, Machine Learning"
Data Scientist,Cloudify,Chennai,423895,Analyze data and build predictive models.,"Machine Learning, Django, Pandas"
Frontend Developer,WebSphere,Remote,2250143,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, Machine Learning, AWS, Docker"
Full Stack Developer,CodeWorks,Kolkata,2182190,Develop and maintain high-quality software solutions.,"SQL, Docker, Machine Learning, Pandas, React"
UI/UX Designer,WebSphere,Bangalore,1031357,Design and implement modern web interfaces.,"React, Python, TensorFlow, Pandas"
Data Scientist,CodeWorks,Delhi,1473071,Design and implement modern web interfaces.,"TensorFlow, SQL, Pandas, Docker"
DevOps Engineer,ByteForge,Mumbai,1240230,Analyze data and build predictive models.,"AWS, Python, Docker, TensorFlow, Pandas"
DevOps Engineer,CodeWorks,Hyderabad,1439917,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, SQL, Django, TensorFlow"
Full Stack Developer,ByteForge,Mumbai,581135,Analyze data and build predictive models.,"JavaScript, React, Pandas, Docker, Python"
Full Stack Developer,WebSphere,Hyderabad,1837817,Design and implement modern web interfaces.,"Docker, SQL, AWS, TensorFlow, React"
Software Engineer,AlgoEdge,Bangalore,1134048,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, Machine Learning, Pandas, Django, TensorFlow"
Python Developer,CodeWorks,Bangalore,473184,Design and implement modern web interfaces.,"Docker, AWS, Machine Learning, JavaScript, Django"
DevOps Engineer,ByteForge,Kolkata,1612989,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, Django, Docker, React, JavaScript"
UI/UX Designer,AlgoEdge,Chennai,1664296,Looking for a passionate developer to build scalable applications.,"Django, Docker, Pandas"
Full Stack Developer,WebSphere,Hyderabad,1044382,Looking for a passionate developer to build scalable applications.,"Python, AWS, Django, JavaScript"
